student_id,e1,e2,total
180023179,0.00,0.03,0.03
180053299,0.00,0.03,0.03
190118059,0.00,7.00,7.00
202017049,0.00,7.00,7.00
202017361,0.00,0.00,0.00
202023627,0.00,0.03,0.03
202046265,0.00,7.00,7.00
202063462,0.00,0.03,0.03
211030264,0.00,7.00,7.00
211030747,0.00,0.03,0.03
211030765,0.00,2.27,2.27
211030980,0.00,7.00,7.00
211031520,0.00,7.00,7.00
211031557,0.00,0.03,0.03
211031575,0.00,0.03,0.03
211041123,0.00,3.92,3.92
211045122,0.00,7.00,7.00
211045178,0.00,0.03,0.03
211061592,0.00,6.42,6.42
211061940,0.00,0.03,0.03
211062016,0.00,7.00,7.00
211062203,0.00,7.00,7.00
211062615,1.55,3.39,4.94
211062713,3.00,6.97,9.97
211062769,3.00,7.00,10.00
211062787,0.00,0.00,0.00
211062796,3.00,7.00,10.00
211063185,3.00,7.00,10.00
212005453,1.69,1.89,3.58
221007644,0.00,0.00,0.00
221008033,3.00,7.00,10.00
221008409,0.03,0.03,0.06
221022023,0.03,0.03,0.06
221022480,3.00,7.00,10.00
221022490,3.00,7.00,10.00
221022506,2.83,2.95,5.78
221022767,3.00,6.86,9.86
222006131,3.00,7.00,10.00
222006230,3.00,6.39,9.39
222006276,2.10,3.89,5.99
222006285,0.03,0.03,0.06
222006534,0.03,0.03,0.06
222006660,3.00,7.00,10.00
222006679,0.00,0.00,0.00
222006688,3.00,7.00,10.00
222014886,3.00,5.75,8.75
222021942,0.03,0.03,0.06
222021998,2.97,6.58,9.55
222022082,3.00,7.00,10.00
222025950,0.03,0.03,0.06
222037700,3.00,7.00,10.00
231011079,3.00,6.94,9.94
231011275,0.03,0.03,0.06
231011570,3.00,7.00,10.00
231011749,3.00,7.00,10.00
231011972,3.00,7.00,10.00
231026330,3.00,7.00,10.00
231026616,3.00,7.00,10.00
231026797,3.00,7.00,10.00
231026984,3.00,6.97,9.97
231029734,3.00,6.97,9.97
231034082,3.00,6.97,9.97
231035731,3.00,7.00,10.00
231039178,3.00,7.00,10.00
232001371,0.00,0.00,0.00
232001380,3.00,7.00,10.00
232001999,3.00,7.00,10.00
232002000,3.00,6.97,9.97
232002655,0.03,0.03,0.06
232002664,3.00,7.00,10.00
232003714,0.00,0.00,0.00
232004506,3.00,6.97,9.97
232013944,0.00,0.00,0.00
232014001,2.38,5.08,7.46
232014057,3.00,6.86,9.86
232014075,0.03,0.03,0.06
232014093,0.00,0.00,0.00
232014191,0.03,0.03,0.06
232014271,3.00,6.97,9.97
232014450,0.00,0.00,0.00
232014576,0.00,0.00,0.00
232014638,0.03,0.03,0.06
232014709,3.00,6.89,9.89
232014754,3.00,6.89,9.89
232024492,0.03,0.03,0.06
232025730,3.00,7.00,10.00
232027476,3.00,7.00,10.00
232027485,3.00,6.97,9.97
232029210,0.03,0.03,0.06
241010914,3.00,7.00,10.00
241011330,3.00,7.00,10.00
241025336,0.00,0.00,0.00
241025480,3.00,7.00,10.00
241025523,0.00,0.00,0.00
,,,
media,1.49,4.16,5.65
